YEAR,Actor2CountryCode,QuadClass,GoldsteinScale,Record Count
2003,TGO,3,-4,1
2003,TGO,1,0,0
2003,TGO,2,0,0
2003,TGO,4,0,0
2003,THA,4,-371.59999999999997,61
2003,THA,3,-209.40000000000003,48
2003,THA,1,-19.999999999999993,22
2003,THA,2,0,0
2003,TJK,3,-17,3
2003,TJK,4,-48,12
2003,TJK,1,0,0
2003,TJK,2,0,0
2003,TKM,1,-0.8,2
2003,TKM,4,-12,3
2003,TKM,2,0,0
2003,TKM,3,0,0
2003,TTO,1,0,0
2003,TTO,2,0,0
2003,TTO,3,0,0
2003,TTO,4,0,0
2003,TUN,1,0,0
2003,TUN,2,0,0
2003,TUN,3,0,0
2003,TUN,4,0,0
2003,TUR,4,-190,29
2003,TUR,3,-56,27
2003,TUR,1,-0.4,1
2003,TUR,2,0,0
2003,TZA,1,0,0
2003,TZA,2,0,0
2003,TZA,3,0,0
2003,TZA,4,0,0
2003,UGA,3,-40,12
2003,UGA,2,-2,1
2003,UGA,4,-29.5,5
2003,UGA,1,0,0
2003,UKR,1,-8,4
2003,UKR,3,-42,13
2003,UKR,4,-433,84
2003,UKR,2,-8,4
2003,URY,1,0,0
2003,URY,2,0,0
2003,URY,3,0,0
2003,URY,4,0,0
2003,USA,4,-5645.899999999997,839
2003,USA,2,-162,81
2003,USA,1,-187.30000000000047,372
2003,USA,3,-4951.100000000001,1440
2003,UZB,4,-79.2,16
2003,UZB,3,-38,9
2003,UZB,1,0,0
2003,UZB,2,0,0
2003,VEN,3,-5,1
2003,VEN,1,0,0
2003,VEN,2,0,0
2003,VEN,4,0,0
2003,VNM,4,-1426.7,176
2003,VNM,1,-3.1999999999999997,8
2003,VNM,3,-246.30000000000004,63
2003,VNM,2,-20,10
2003,VUT,1,0,0
2003,VUT,2,0,0
2003,VUT,3,0,0
2003,VUT,4,0,0
2003,YEM,3,-8.5,2
2003,YEM,4,-54.5,7
2003,YEM,1,0,0
2003,YEM,2,0,0
2003,ZAF,4,-5,1
2003,ZAF,1,0,0
2003,ZAF,2,0,0
2003,ZAF,3,0,0
2003,ZMB,1,-2,5
2003,ZMB,2,-4,2
2003,ZMB,3,-8.5,2
2003,ZMB,4,-40,6
2003,ZWE,4,-26.200000000000003,5
2003,ZWE,1,-0.8,2
2003,ZWE,3,-35,10
2003,ZWE,2,0,0
2004,AFG,4,-2232.9,254
2004,AFG,1,-41.599999999999994,35
2004,AFG,2,-24,12
2004,AFG,3,-188.3,65
2004,AGO,1,0,0
2004,AGO,2,0,0
2004,AGO,3,0,0
2004,AGO,4,0,0
2004,ARE,4,-5,1
2004,ARE,1,0,0
2004,ARE,2,0,0
2004,ARE,3,0,0
2004,ARG,3,-19,5
2004,ARG,4,-31,4
2004,ARG,1,0,0
2004,ARG,2,0,0
2004,ARM,1,0,0
2004,ARM,2,0,0
2004,ARM,3,0,0
2004,ARM,4,0,0
2004,ATG,1,0,0
2004,ATG,2,0,0
2004,ATG,3,0,0
2004,ATG,4,0,0
2004,AUS,2,-10,5
2004,AUS,4,-162,22
2004,AUS,1,-10.700000000000001,22
2004,AUS,3,-97.60000000000002,27
2004,AUT,4,-5,1
2004,AUT,1,-0.4,1
2004,AUT,3,-32.4,8
2004,AUT,2,0,0
2004,AZE,2,-2,1
2004,AZE,1,-0.4,1
2004,AZE,3,0,0
2004,AZE,4,0,0
2004,BEL,2,-4,2
2004,BEL,4,-76,10
2004,BEL,1,-0.4,1
2004,BEL,3,-8,4
2004,BGD,1,-0.8,2
